c_postal;id_provincia;c_ine
27773;27;27002
19277;19;19010
15860;15;15077
25192;25;25120
17118;17;17901
23470;23;23028
25282;25;25193
15405;15;15036
28001;28;28079
38458;38;38015
50596;50;50248
46266;46;46040
24401;24;24115
10811;10;10067
27170;27;27049
09239;9;9093
28492;28;28023
40315;40;40048
18550;18;18915
32522;32;32013
14880;14;14039
18812;18;18078
20568;20;20059
41650;41;41090
09515;9;9213
18210;18;18153
44140;44;44059
10630;10;10041
31792;31;31054
25730;25;25034
38600;38;38017
39292;39;39017
48180;48;48903
01439;1;1020
04738;4;4102
30178;30;30029
16770;16;16191
08915;8;8015
28737;28;28138
09611;9;9154
37318;37;37265
23750;23;23007
17532;17;17096
36110;36;36007
43761;43;43111
47315;47;47116
49400;49;49081
03177;3;3118
10818;10;10053
25792;25;25044
35431;35;35008
27373;27;27039
45212;45;45085
32103;32;32054
46721;46;46198
46194;46;46212
03501;3;3031
08540;8;8067
37717;37;37343
37184;37;37362
36656;36;36005
47465;47;47228
03720;3;3041
07010;7;7040
34411;34;34155
37186;37;37209
50530;50;50191
05131;5;5096
36470;36;36049
27191;27;27028
20160;20;20902
50346;50;50075
21360;21;21043
18870;18;18085
42156;42;42215
08660;8;8018
14192;14;14021
30875;30;30026
30510;30;30043
09129;9;9427
11004;11;11012
14208;14;14011
16531;16;16250
10528;10;10176
33857;33;33059
43791;43;43019
40542;40;40212
36450;36;36050
46844;46;46185
07509;7;7033
10810;10;10127
22348;22;22066
49343;49;49097
09616;9;9378
24569;24;24103
11380;11;11035
27554;27;27060
09121;9;9211
42328;42;42116
03599;3;3018
18195;18;18057
31270;31;31143
48004;48;48020
40494;40;40022
32336;32;32009
32631;32;32032
25592;25;25062
05240;5;5161
09493;9;9387
17869;17;17224
20011;20;20069
27235;27;27020
49517;49;49223
08589;8;8160
48120;48;48064
36413;36;36039
04711;4;4902
08760;8;8114
07687;7;7033
49014;49;49275
21609;21;21011
50132;50;50085
39314;39;39076
47800;47;47086
11010;11;11012
19459;19;19054
29760;29;29094
25193;25;25011
31866;31;31049
50547;50;50061
14220;14;14026
26134;26;26153
06004;6;6015
26338;26;26142
22712;22;22130
45526;45;45901
16214;16;16003
24270;24;24039
33328;33;33019
33490;33;33004
42318;42;42194
32664;32;32001
44315;44;44190
09244;9;9060
38291;38;38023
10450;10;10104
41073;41;41038
33777;33;33048
10860;10;10084
25614;25;25156
33547;33;33012
50619;50;50036
28590;28;28180
39213;39;39065
45213;45;45127
37170;37;37380
24930;24;24180
38290;38;38032
15280;15;15013
09200;9;9219
35579;35;35020
09272;9;9048
19112;19;19224
36393;36;36003
16373;16;16150
33174;33;33044
10005;10;10037
47002;47;47186
16400;16;16203
50144;50;50171
05216;5;5152
02328;2;2003
03186;3;3133
38340;38;38043
24890;24;24076
14013;14;14021
33394;33;33024
24397;24;24093
35627;35;35015
18270;18;18135
36005;36;36038
31240;31;31041
31713;31;31050
38010;38;38038
43746;43;43150
36638;36;36027
10519;10;10203
24940;24;24063
40445;40;40106
22585;22;22112
09654;9;9181
22452;22;22111
34405;34;34168
40493;40;40231
17133;17;17068
16235;16;16113
35309;35;35021
29688;29;29051
41907;41;41096
16878;16;16123
28912;28;28074
50795;50;50105
50248;50;50243
