c_ine;no_municipio;id_provincia;is_capital_prov;is_capital_comaut;nu_poblacion;geo_latitude_etrs89;geo_longitude_etrs89;geo_altura;geo_superficie;geo_perimetro;geo_hoja_etrs89
1051;AGURAIN/SALVATIERRA;1;0;0;5069;42,85045;-2,389753;608;3776;37786;0113-3
1001;ALEGRÍA-DULANTZI;1;0;0;2960;42,83981;-2,512437;568;1994;35069;0113-3
1002;AMURRIO;1;0;0;10281;43,05428;-3,000073;219;9629;65381;0086-4
1049;AÑANA;1;0;0;156;42,80123;-2,986016;574;2192;21681;0137-2
1003;ARAMAIO;1;0;0;1431;43,0512;-2,5654;333;7308;42097;0087-4
1006;ARMIÑÓN;1;0;0;235;42,72326;-2,871835;467;1297;24707;0137-4
1037;ARRAIA-MAEZTU;1;0;0;804;42,73853;-2,444299;649;12310;59163;0139-3
1008;ARRATZUA-UBARRUNDIA;1;0;0;1031;42,89116;-2,638788;528;5753;67180;0112-4
1004;ARTZINIEGA;1;0;0;1810;43,12084;-3,127917;210;2728;22886;0086-1
1009;ASPARRENA;1;0;0;1637;42,88969;-2,316708;602;6510;53754;0113-4
1010;AYALA/AIARA;1;0;0;2921;43,07768;-3,043067;306;14096;64211;0086-3
1011;BAÑOS DE EBRO/MAÑUETA;1;0;0;296;42,52925;-2,678636;421;950;18666;0170-4
1013;BARRUNDIA;1;0;0;914;42,91537;-2,494075;575;9729;57551;0113-3
1014;BERANTEVILLA;1;0;0;452;42,68227;-2,859714;471;3574;38696;0137-4
1016;BERNEDO;1;0;0;560;42,62677;-2,498254;710;13048;85964;0171-1
1017;CAMPEZO/KANPEZU;1;0;0;1094;42,66971;-2,352077;578;8536;53461;0139-4
1021;ELBURGO/BURGELU;1;0;0;629;42,85028;-2,545933;540;3210;58545;0112-4
1022;ELCIEGO;1;0;0;971;42,51421;-2,617239;451;1625;21854;0170-4
1023;ELVILLAR/BILAR;1;0;0;316;42,56842;-2,544413;581;1750;21190;0170-4
1047;RIBERA BAJA/ERRIBERABEITIA;1;0;0;1416;42,7134;-2,91704;483;2531;30540;0137-4
1046;ERRIBERAGOITIA/RIBERA ALTA;1;0;0;820;42,80075;-2,910806;545;11981;83162;0137-2
1056;HARANA/VALLE DE ARANA;1;0;0;226;42,75289;-2,331047;812;3912;37971;0139-2
